timestamp,active_connections,messages_per_sec,avg_latency_ms,cpu_percent,memory_mb
16:06:47,0,0.0,0.0,0.46,18.13
16:06:52,0,0.0,0.0,0.42,18.13
16:06:57,0,0.0,0.0,0.38,18.13
16:07:02,0,0.0,0.0,0.35,18.13
16:07:07,0,0.0,0.0,0.32,18.13
16:07:12,0,0.0,0.0,0.29,18.22
16:07:17,0,0.0,0.0,0.27,18.22
16:07:22,0,0.0,0.0,0.24,18.22
16:07:27,0,0.0,0.0,0.22,18.22
16:07:32,0,0.0,0.0,0.2,18.22
16:07:37,0,0.0,0.0,0.19,18.22
16:07:42,0,0.0,0.0,0.17,18.22
16:07:47,0,0.0,0.0,0.16,18.22
16:07:52,0,0.0,0.0,0.14,18.22
16:07:57,0,0.0,0.0,0.13,18.22
16:08:02,0,0.0,0.0,0.12,18.22
16:08:07,0,0.0,0.0,0.1,18.22
16:08:12,0,0.0,0.0,0.09,18.22
16:08:17,0,0.0,0.0,0.09,18.22
16:08:22,0,0.0,0.0,0.08,18.22
16:08:27,0,0.0,0.0,0.07,18.22
16:08:32,0,0.0,0.0,0.06,18.22
16:08:37,0,0.0,0.0,0.05,18.22
16:08:42,0,0.0,0.0,0.05,18.22
16:08:47,0,0.0,0.0,0.04,18.22
16:08:53,0,0.0,0.0,0.04,18.22
16:08:58,0,0.0,0.0,0.03,18.22
16:09:03,0,0.0,0.0,0.03,18.22
16:09:08,0,0.0,0.0,0.03,18.22
16:09:13,0,0.0,0.0,0.02,18.22
16:09:18,0,0.0,0.0,0.02,18.22
16:09:23,0,0.0,0.0,0.02,18.23
16:09:28,0,0.0,0.0,0.02,18.23
16:09:33,0,0.0,0.0,0.01,18.23
16:09:38,0,0.0,0.0,0.01,18.23
16:09:43,0,0.0,0.0,0.01,18.23
16:09:48,0,0.0,0.0,0.0,18.23
16:09:53,0,0.0,0.0,0.0,18.23
16:09:58,0,0.0,0.0,0.0,18.23
16:10:03,0,0.0,0.0,0.0,18.23
16:10:08,0,0.0,0.0,0.0,18.23
16:10:13,0,0.0,0.0,0.0,18.23
16:10:18,0,0.0,0.0,0.0,18.23
16:10:23,0,0.0,0.0,0.0,18.23
16:10:28,0,0.0,0.0,0.0,18.23
16:10:33,0,0.0,0.0,0.0,18.23
16:10:38,0,0.0,0.0,0.0,18.23
16:10:43,0,0.0,0.0,0.0,18.23
16:10:48,0,0.0,0.0,0.0,18.23
16:10:53,0,0.0,0.0,0.0,18.23
16:10:58,0,0.0,0.0,0.0,18.23
16:11:03,0,0.0,0.0,0.0,18.23
16:11:08,0,0.0,0.0,0.0,18.23
16:11:13,0,0.0,0.0,0.0,18.23
16:11:18,0,0.0,0.0,0.0,18.23
16:11:23,0,0.0,0.0,0.0,18.23
16:11:28,0,0.0,0.0,0.0,18.23
16:11:33,0,0.0,0.0,0.0,18.23
16:11:38,0,0.0,0.0,0.0,18.23
16:11:43,0,0.0,0.0,0.0,18.23
16:11:48,0,0.0,0.0,0.0,18.23
16:11:53,0,0.0,0.0,0.0,18.23
16:11:58,0,0.0,0.0,0.0,18.23
16:12:03,0,0.0,0.0,0.0,18.23
16:12:08,0,0.0,0.0,0.0,18.23
16:12:13,0,0.0,0.0,0.0,18.23
16:12:18,0,0.0,0.0,0.0,18.23
16:12:24,0,0.0,0.0,0.0,18.23
16:12:29,0,0.0,0.0,0.0,18.23
16:12:34,0,0.0,0.0,0.0,18.23
16:12:39,0,0.0,0.0,0.0,18.23
16:12:44,0,0.0,0.0,0.0,18.23
16:12:49,0,0.0,0.0,0.0,18.23
16:12:54,0,0.0,0.0,0.0,18.23
16:12:59,0,0.0,0.0,0.0,18.23
16:13:04,0,0.0,0.0,0.0,18.23
16:13:09,0,0.0,0.0,0.0,18.23
16:13:14,0,0.0,0.0,0.0,18.23
16:13:19,0,0.0,0.0,0.0,18.23
16:13:24,0,0.0,0.0,0.0,18.23
16:13:29,0,0.0,0.0,0.0,18.23
16:13:34,0,0.0,0.0,0.0,18.23
16:13:39,0,0.0,0.0,0.0,18.23
16:13:44,0,0.0,0.0,0.0,18.23
16:13:49,0,0.0,0.0,0.0,18.23
16:13:54,0,0.0,0.0,0.0,18.23
16:13:59,0,0.0,0.0,0.0,18.23
16:14:04,0,0.0,0.0,0.0,18.23
16:14:09,0,0.0,0.0,0.0,18.23
16:14:14,0,0.0,0.0,0.0,18.23
16:14:19,0,0.0,0.0,0.0,18.23
16:14:24,0,0.0,0.0,0.0,18.23
16:14:29,0,0.0,0.0,0.0,18.23
16:14:34,0,0.0,0.0,0.0,18.23
16:14:39,0,0.0,0.0,0.0,18.23
16:14:44,0,0.0,0.0,1.0,18.23
16:14:49,0,0.0,0.0,0.92,18.23
16:14:54,0,0.0,0.0,1.35,18.23
16:14:59,0,0.0,0.0,1.24,18.23
16:15:04,0,0.0,0.0,1.14,18.23
16:15:09,0,0.0,0.0,1.04,18.23
16:15:14,0,0.0,0.0,0.96,18.23
16:15:19,0,0.0,0.0,0.88,18.23
16:15:24,0,0.0,0.0,0.81,18.23
16:15:29,0,0.0,0.0,0.74,18.23
16:15:34,0,0.0,0.0,0.68,18.23
16:15:39,0,0.0,0.0,0.62,18.23
16:15:44,0,0.0,0.0,0.57,18.23
16:15:49,0,0.0,0.0,0.52,18.23
16:15:54,0,0.0,0.0,0.48,18.23
16:15:59,0,0.0,0.0,0.44,18.23
16:16:04,0,0.0,0.0,0.41,18.23
16:16:09,0,0.0,0.0,0.37,18.23
16:16:14,0,0.0,0.0,0.34,18.23
16:16:19,0,0.0,0.0,0.31,18.23
16:16:24,0,0.0,0.0,0.29,18.23
16:16:29,0,0.0,0.0,0.26,18.23
16:16:34,0,0.0,0.0,0.24,18.23
16:16:39,0,0.0,0.0,0.22,18.23
16:16:44,0,0.0,0.0,0.2,18.23
16:16:49,0,0.0,0.0,0.18,18.23
16:16:54,0,0.0,0.0,0.17,18.23
16:16:59,0,0.0,0.0,0.15,18.23
16:17:04,0,0.0,0.0,0.14,18.23
16:17:09,0,0.0,0.0,0.13,18.23
16:17:14,0,0.0,0.0,0.11,18.23
16:17:19,0,0.0,0.0,0.1,18.23
16:17:24,0,0.0,0.0,0.09,18.23
16:17:29,0,0.0,0.0,0.09,18.23
16:17:35,0,0.0,0.0,0.08,18.23
16:17:40,0,0.0,0.0,0.07,18.23
16:17:45,0,0.0,0.0,0.06,18.23
16:17:50,0,0.0,0.0,0.05,18.23
16:17:55,0,0.0,0.0,0.05,18.23
16:18:00,0,0.0,0.0,0.04,18.23
16:18:05,0,0.0,0.0,0.04,18.23
16:18:10,0,0.0,0.0,0.03,18.23
16:18:15,0,0.0,0.0,0.03,18.23
16:18:20,0,0.0,0.0,0.03,18.23
16:18:25,0,0.0,0.0,0.02,18.23
16:18:30,0,0.0,0.0,0.02,18.23
16:18:35,0,0.0,0.0,0.02,18.23
16:18:40,0,0.0,0.0,0.02,18.23
16:18:45,0,0.0,0.0,0.01,18.23
16:18:50,0,0.0,0.0,0.01,18.23
16:18:55,0,0.0,0.0,0.01,18.23
16:19:00,0,0.0,0.0,0.0,18.23
16:19:05,0,0.0,0.0,0.0,18.23
16:19:10,0,0.0,0.0,0.0,18.23
16:19:15,0,0.0,0.0,0.0,18.23
16:19:20,0,0.0,0.0,0.0,18.23
